block,changed_label,oof_probability,predicted_at_threshold
736,1,0.5956745028946461,1
737,1,0.5593013490335197,1
738,1,0.32535017925349147,1
739,1,0.743229667146163,1
740,1,0.5144986135925398,1
741,1,0.46063085562888806,1
742,1,0.4461594021446396,1
743,1,0.11512494511343595,0
744,1,0.31778661656811674,1
745,1,0.7651462322711775,1
746,1,0.5822326082762358,1
747,1,0.252862645473448,1
748,1,0.44190093899543137,1
749,1,0.46293687060052063,1
750,1,0.4276094880025082,1
751,1,0.5840979970311149,1
752,1,0.5212124118961861,1
753,1,0.6941557900553113,1
754,1,0.5567467413305354,1
755,1,0.737948005899763,1
756,1,0.5101344745894616,1
757,1,0.5528711101505684,1
758,1,0.40107990776925617,1
759,1,0.3381346535058659,1
760,1,0.6682405234166113,1
761,1,0.5921953214599388,1
762,1,0.6435983474200181,1
763,1,0.6674119614420246,1
764,1,0.23644423636083767,1
765,1,0.37745144496217853,1
766,1,0.542530557017884,1
767,1,0.6465226410370485,1
768,1,0.5434236944637686,1
769,1,0.489651033130905,1
770,1,0.5839443607894542,1
771,1,0.3187011635540747,1
772,1,0.6537916214102746,1
773,1,0.11278565893462732,0
774,1,0.7747467368867619,1
775,1,0.6107506700014343,1
776,1,0.5051570166894178,1
777,1,0.6419998796498413,1
778,1,0.2120092727883416,1
779,1,0.1580836442462286,1
780,1,0.4227280193313617,1
781,1,0.33378029405799425,1
782,1,0.368551353940468,1
783,1,0.4140374034156021,1
784,1,0.4139371881049994,1
785,1,0.2949797267067356,1
786,1,0.3647675437952428,1
787,1,0.11196536705423782,0
788,1,0.33386196799122203,1
789,1,0.3601238268536156,1
790,1,0.14982223167738343,1
791,1,0.7070925231589944,1
792,1,0.2230081928636561,1
793,1,0.050177980075565745,0
794,1,0.44034892222057914,1
795,1,0.17457590131492598,1
796,1,0.3381895838764307,1
797,1,0.26974968180664266,1
798,1,0.16222441412777872,1
799,1,0.3825232627349648,1
800,1,0.24558998188841757,1
801,1,0.24903278582143826,1
802,1,0.33503384218530463,1
803,1,0.3780659013385169,1
804,1,0.27805578279474663,1
805,1,0.307246444454931,1
806,1,0.19060882294105752,1
807,1,0.37718027556223244,1
808,1,0.5764036073941079,1
809,1,0.6955704111010699,1
810,1,0.808142115490125,1
811,1,0.2620913066273899,1
812,1,0.5985997556792702,1
813,1,0.40762384119822975,1
814,1,0.3411323052606809,1
815,1,0.2420503627512699,1
816,1,0.6541151485859831,1
817,1,0.4678805981947815,1
818,1,0.03645335941387367,0
819,1,0.1972472184836868,1
820,1,0.39190605913657306,1
821,1,0.5504956951043667,1
822,1,0.5197322742416784,1
823,1,0.4439884638403677,1
824,1,0.39406005796403915,1
825,0,0.28332609209428494,1
826,0,0.2339940626237568,1
827,0,0.08995238036090392,0
828,0,0.28332408541143417,1
829,1,0.7264867759060721,1
830,1,0.9194547790773401,1
831,1,0.7195560608232575,1
832,0,0.7715616571987028,1
833,0,0.32054098804302067,1
834,0,0.5696009709602553,1
835,0,0.39866590835981625,1
836,1,0.6448016980819572,1
837,0,0.4977009872425788,1
838,0,0.48678910463181063,1
839,0,0.20439823474490798,1
840,0,0.7513931434825116,1
841,0,0.6766171472009125,1
842,0,0.6374256161135017,1
843,0,0.5262132576504664,1
844,0,0.22676254101972598,1
845,0,0.6391358671710126,1
846,0,0.29239556462621696,1
847,0,0.25307214886033086,1
848,0,0.31885385333492167,1
849,1,0.7488549544274392,1
850,0,0.1808917656544034,1
851,0,0.17958419079327756,1
852,0,0.36993642398705595,1
853,0,0.4222518748365605,1
854,1,0.8265736765594025,1
855,0,0.318282240264768,1
856,0,0.31515678682529097,1
857,0,0.24254993889746282,1
858,0,0.1976413103268119,1
859,1,0.27769617340745295,1
860,0,0.17525813169637863,1
861,0,0.2349180191114475,1
862,0,0.7637746223591784,1
863,0,0.18361808927865753,1
864,0,0.13842865348325334,0
865,0,0.13733816337164273,0
866,0,0.16788950859469318,1
867,0,0.2524736840649374,1
868,0,0.1713092024704101,1
869,0,0.13476355152228656,0
870,0,0.17997045419723456,1
871,0,0.16684897169967772,1
872,0,0.2786647368697538,1
873,0,0.3061011844993824,1
874,1,0.5739408332440725,1
875,0,0.39357332503656284,1
876,0,0.5799652799048443,1
877,0,0.5248059293736435,1
878,1,0.9727143855874187,1
879,1,0.4761062768156752,1
880,0,0.37521516322735476,1
881,1,0.6558457310820398,1
882,1,0.9136895886234325,1
883,1,0.6922127655302572,1
884,0,0.5530209187951809,1
885,0,0.6604447547107515,1
886,0,0.6619077506615212,1
887,0,0.15727414696344613,1
888,0,0.15155497509059854,1
889,0,0.7113310616560493,1
890,1,0.8833103382206066,1
891,1,0.5336025122066996,1
892,0,0.33480393912815964,1
893,1,0.31068465146470514,1
894,0,0.21572314842456716,1
895,0,0.11774527885929345,0
896,0,0.48581076981421417,1
897,0,0.23782776037299302,1
898,0,0.3368577970298139,1
899,0,0.21965481357340932,1
900,0,0.3988985809362137,1
901,0,0.06324256673157125,0
902,0,0.39903507763916984,1
903,0,0.47897736095757204,1
904,0,0.26174118963635157,1
905,0,0.44168484875062924,1
906,0,0.21894453747224965,1
907,0,0.4006957289113556,1
908,0,0.3965649135028609,1
909,1,0.762330807629422,1
910,0,0.7471784146320931,1
911,1,0.78338830172458,1
912,0,0.32887990485827856,1
913,1,0.7482180649225864,1
914,1,0.38695229702491696,1
915,1,0.32918799317151426,1
916,1,0.5846500073548023,1
917,1,0.5672752286146372,1
918,0,0.2799107707207147,1
919,1,0.32329531210738477,1
920,0,0.4886835881398369,1
921,0,0.4464185275169305,1
922,0,0.14420260757599582,0
923,0,0.18812247214958877,1
924,1,0.18897474727565775,1
925,1,0.2947026670491424,1
926,1,0.3602880811522327,1
927,0,0.1780891001453705,1
928,0,0.499061166450175,1
929,0,0.21569049043753796,1
